date,rank,points,change,players
1/6/2025,9,309,1,"chelo, FalleN, KSCERATO, skullz, yuurih"
1/13/2025,9,310,0,"chelo, FalleN, KSCERATO, skullz, yuurih"
1/20/2025,8,298,1,"chelo, FalleN, KSCERATO, skullz, yuurih"
1/27/2025,9,236,-1,"chelo, FalleN, KSCERATO, skullz, yuurih"
2/3/2025,10,253,-1,"chelo, FalleN, KSCERATO, skullz, yuurih"
2/10/2025,12,169,-2,"chelo, FalleN, KSCERATO, skullz, yuurih"
2/17/2025,15,157,-3,"chelo, FalleN, KSCERATO, skullz, yuurih"
2/24/2025,15,158,0,"chelo, FalleN, KSCERATO, skullz, yuurih"
3/3/2025,15,159,0,"chelo, FalleN, KSCERATO, skullz, yuurih"
3/10/2025,16,173,-1,"chelo, FalleN, KSCERATO, skullz, yuurih"
3/17/2025,15,165,1,"chelo, FalleN, KSCERATO, skullz, yuurih"
3/24/2025,15,146,0,"chelo, FalleN, KSCERATO, skullz, yuurih"
3/31/2025,15,127,0,"chelo, FalleN, KSCERATO, skullz, yuurih"
4/7/2025,15,131,0,"chelo, FalleN, KSCERATO, skullz, yuurih"
4/14/2025,17,108,-2,"FalleN, KSCERATO, molodoy, skullz, yuurih"
4/21/2025,16,103,1,"FalleN, KSCERATO, molodoy, skullz, yuurih"
4/28/2025,17,68,-1,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
5/5/2025,20,50,-3,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
5/12/2025,19,62,1,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
5/19/2025,16,123,3,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
5/26/2025,17,117,-1,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
6/2/2025,16,115,1,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
6/9/2025,15,125,1,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
6/16/2025,10,166,5,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
6/23/2025,9,212,1,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
6/30/2025,9,212,0,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
7/7/2025,9,212,0,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
7/14/2025,9,212,0,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
7/21/2025,9,205,0,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
7/28/2025,8,257,1,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
8/4/2025,6,308,2,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
8/11/2025,6,300,0,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
8/18/2025,6,297,0,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
8/25/2025,8,302,-2,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
9/2/2025,5,371,3,
9/8/2025,7,352,-2,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
9/15/2025,6,398,1,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
9/22/2025,5,551,1,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
9/29/2025,5,500,0,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
10/6/2025,5,574,0,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
10/13/2025,6,535,-1,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
10/20/2025,3,657,3,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
10/27/2025,2,664,1,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
11/3/2025,2,665,0,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
11/10/2025,2,796,0,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
11/17/2025,2,925,0,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
11/24/2025,1,930,1,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
12/1/2025,1,936,0,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
12/8/2025,1,942,0,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
12/15/2025,2,805,-1,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
12/22/2025,2,808,0,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
12/29/2025,2,811,0,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
1/5/2026,2,814,0,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
1/12/2026,2,817,0,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
1/19/2026,2,807,0,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
1/26/2026,2,822,0,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
2/2/2026,2,811,0,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
2/9/2026,2,757,0,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
2/16/2026,2,749,0,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
